flat_name,slug,issue_type,excel_value,db_value,details
K07A302,k07a302,OCCUPANCY_STATUS_MISMATCH,Occupied,Occupied & On Notice,"Excel: Occupied, DB: Occupied & On Notice"
K07A302,k07a302,RENT_STATUS_MISMATCH,No -> 0,1,"Excel: No (normalized: 0), DB: 1"
K07A502,k07a502,AVAILABLE_DATE_MISSING_IN_DB,2025-10-22,NULL,"Excel has date 2025-10-22, but DB is NULL"
K07A502,k07a502,BOOKING_HOLD_STATUS_MISMATCH,Free -> 1,2,"Excel: Free (normalized: 1), DB: 2"
K07A502,k07a502,NEXT_BOOKING_STATUS_MISMATCH,Not Booked,Booked,"Excel: Not Booked, DB: Booked"
K07A502,k07a502,OCCUPANCY_STATUS_MISMATCH,Occupied & On Notice,Occupied,"Excel: Occupied & On Notice, DB: Occupied"
K07A502,k07a502,RENT_STATUS_MISMATCH,Yes -> 1,0,"Excel: Yes (normalized: 1), DB: 0"
K07A503,k07a503,AVAILABLE_DATE_MISMATCH,2025-09-04,2025-09-07,"Excel: 2025-09-04, DB: 2025-09-07"
K07A503,k07a503,OCCUPANCY_STATUS_MISMATCH,Vacant,Occupied & On Notice,"Excel: Vacant, DB: Occupied & On Notice"
K07A507,k07a507,BOOKING_HOLD_STATUS_MISMATCH,On Hold -> 2,1,"Excel: On Hold (normalized: 2), DB: 1"
K07A507,k07a507,NEXT_BOOKING_STATUS_MISMATCH,Booked,Not Booked,"Excel: Booked, DB: Not Booked"
K07A507,k07a507,OCCUPANCY_STATUS_MISMATCH,Occupied,Vacant,"Excel: Occupied, DB: Vacant"
